Category,City,Country,Discount,Profit,Quantity,Region,Sales,Segment,State,Sub-Category
Office Supplies,Los Angeles,United States,0,3.894,2,West,77.88,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,1.7901,3,West,6.63,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,1.7052,2,West,5.88,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,3.0368,2,West,11.68,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,0.0792,2,West,3.96,Consumer,California,Fasteners
Office Supplies,Los Angeles,United States,0,6.2208,2,West,12.96,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,2.4192,3,West,8.64,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,2.8536,3,West,9.84,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,39.213,3,West,130.71,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,18.8328,7,West,49.56,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,1.5876,2,West,5.88,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,1.5288,3,West,5.46,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,9.3312,3,West,19.44,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,10.224,4,West,22.72,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,21.228,5,West,73.2,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,41.5104,6,West,90.24,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,14.2956,2,West,43.32,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,3.6022,2,West,11.62,Consumer,California,Fasteners
Office Supplies,Los Angeles,United States,0,9.2928,2,West,19.36,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,17.0268,3,West,60.81,Consumer,California,Appliances
Office Supplies,Los Angeles,United States,0,15.4752,3,West,59.52,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,122.148,3,West,271.44,Consumer,California,Envelopes
Office Supplies,Los Angeles,United States,0,0.1188,3,West,5.94,Consumer,California,Fasteners
Office Supplies,Los Angeles,United States,0,31.5192,3,West,68.52,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,150.984,3,West,314.55,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,56.9772,3,West,116.28,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,9.3312,3,West,19.44,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,14.2386,3,West,74.94,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,3.8048,4,West,13.12,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,108.1752,4,West,772.68,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,3.5475,5,West,10.75,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,7.065,5,West,15.7,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,15.824,5,West,34.4,Consumer,California,Paper
Office Supplies,Los Angeles,United States,0,267.705,5,West,892.35,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,5.0358,7,West,15.26,Consumer,California,Fasteners
Office Supplies,Los Angeles,United States,0,9.9296,8,West,34.24,Consumer,California,Art
Office Supplies,Los Angeles,United States,0,29.1528,9,West,728.82,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,76.2525,9,West,305.01,Consumer,California,Storage
Office Supplies,Los Angeles,United States,0,14.4222,2,West,480.74,Corporate,California,Supplies
Office Supplies,Los Angeles,United States,0,0.0628,2,West,6.28,Corporate,California,Supplies
Office Supplies,Los Angeles,United States,0,38.178,5,West,141.4,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,21.7728,7,West,45.36,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,16.5888,3,West,61.44,Corporate,California,Appliances
Office Supplies,Los Angeles,United States,0,122.148,3,West,271.44,Corporate,California,Envelopes
Office Supplies,Los Angeles,United States,0,36.4044,3,West,79.14,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,26.6304,1,West,55.48,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,5.4896,2,West,11.68,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,1.6704,2,West,5.76,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,3.7208,2,West,93.02,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,5.07,2,West,16.9,Corporate,California,Supplies
Office Supplies,Los Angeles,United States,0,3.717,3,West,12.39,Corporate,California,Art
Office Supplies,Los Angeles,United States,0,5.2164,3,West,11.34,Corporate,California,Fasteners
Office Supplies,Los Angeles,United States,0,9.3312,3,West,19.44,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,6.048,4,West,12.6,Corporate,California,Labels
Office Supplies,Los Angeles,United States,0,16.68,4,West,33.36,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,12.1692,4,West,405.64,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,43.706,5,West,168.1,Corporate,California,Appliances
Office Supplies,Los Angeles,United States,0,143.303,5,West,304.9,Corporate,California,Envelopes
Office Supplies,Los Angeles,United States,0,15.552,5,West,32.4,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,20.878,5,West,80.3,Corporate,California,Storage
Office Supplies,Los Angeles,United States,0,30.4278,13,West,64.74,Corporate,California,Paper
Office Supplies,Los Angeles,United States,0,31.0184,2,West,106.96,Home Office,California,Appliances
Office Supplies,Los Angeles,United States,0,3.36,4,West,6.72,Home Office,California,Art
Office Supplies,Los Angeles,United States,0,1.4112,1,West,2.88,Home Office,California,Labels
Office Supplies,Los Angeles,United States,0,4.8804,2,West,9.96,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,6.2208,2,West,12.96,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,22.2,3,West,44.4,Home Office,California,Labels
Office Supplies,Los Angeles,United States,0,53.4954,3,West,113.82,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,4.0664,4,West,23.92,Home Office,California,Storage
Office Supplies,Los Angeles,United States,0,9.63,5,West,21.4,Home Office,California,Paper
Office Supplies,Los Angeles,United States,0,18.6624,6,West,38.88,Home Office,California,Paper
Technology,Los Angeles,United States,0,11.7741,3,West,90.57,Consumer,California,Accessories
Furniture,Los Angeles,United States,0,7.106,1,West,18.7,Consumer,California,Furnishings
Furniture,Los Angeles,United States,0,1.7472,2,West,4.16,Consumer,California,Furnishings
